name,categ,X,Y,Z,color
Неправильный прикус у детей,Детские болезни,-14.908916,-0.33657876,11.3994875,#64CB5D
Непроходимость маточных труб,Женские болезни,5.8598475,11.434458,-0.2510594,#48196B
Непроходимость носослезного канала,Глазные болезни,-4.319085,-5.430093,3.4977422,#E7E419
Непроходимость пищевода,Болезни органов пищеварения,16.534824,3.911044,3.2841282,#404387
Непроходимость толстой кишки,Болезни толстого кишечника,12.245168,4.251694,3.084845,#8DD644
Нервная анорексия у детей и подростков,Детские болезни,-2.5910451,-3.9857287,-19.99578,#64CB5D
Нервно-артритический диатез ,Детские болезни,7.7161593,1.107747,-10.304161,#64CB5D
Неревматические кардиты у детей,Детские болезни,9.841135,-6.2066426,-3.846504,#64CB5D
Несахарный диабет,Эндокринные болезни,8.239272,3.9960496,-10.050094,#29788E
Несовершенный амелогенез ,Болезни зубов,-13.617514,2.7825413,12.333179,#FDE724
Несовершенный дентиногенез,Болезни зубов,-13.584895,2.8009763,12.304481,#FDE724
Несовершенный остеогенез,Детские болезни,0.49182105,2.6930704,-2.7326834,#64CB5D
Неспецифический язвенный колит ,Болезни толстого кишечника,15.147506,-0.6595841,3.1883934,#8DD644
Нефронофтиз Фанкони,Наследственные болезни,5.305215,0.7125646,-7.8265066,#38568B
Нефропатия беременных,Женские болезни,7.72901,14.421932,-6.0447397,#48196B
Нефроптоз,Урологические болезни,7.0732546,5.6687346,-2.3490052,#29AF7F
Нефротический синдром,Урологические болезни,8.629634,-4.2147164,-6.274695,#29AF7F
Неходжкинские лимфомы,Онкологические болезни,-3.4176598,7.9457436,4.9849534,#482374
Низкое расположение плаценты,Женские болезни,9.039893,15.727093,-2.1550171,#48196B
Никотиновая зависимость,Наркологические проблемы,-0.061416745,-5.266276,-19.411203,#2D6F8E
Нистагм,Глазные болезни,-6.53438,-9.591216,-4.1426783,#E7E419
Нитевидная бородавка,Кожные болезни,-1.8489467,0.6387878,16.248194,#42BE71
Нитчатый кератит,Глазные болезни,-4.690256,-10.181999,4.2554803,#E7E419
Новообразования вульвы,Женские болезни,4.9228597,10.324085,7.2579703,#48196B
Новообразования кожи,Кожные болезни,-0.9031143,1.1736301,12.703048,#42BE71
Нодулярная гиперплазия печени,Онкологические болезни,-3.2300534,9.195714,1.6671236,#482374
