name,categ,X,Y,color
Острый периодонтит,Болезни зубов,-17.70415,5.34559,#22A784
Острый периостит,Болезни ОДС и травмы,-10.2774725,-14.0069065,#2D6F8E
Острый перитонит,Болезни органов пищеварения,5.1290207,4.5284877,#345E8D
Острый пиелонефрит,Урологические болезни,-2.3445582,6.7069874,#E7E419
Острый проктит,Болезни толстого кишечника,0.52073574,10.003351,#D2E11B
Острый простатит,Урологические болезни,-4.8964605,8.106491,#E7E419
Острый пульпит,Болезни зубов,-18.500381,3.067402,#22A784
Острый сиаладенит,Болезни зубов,-17.431503,3.7396429,#22A784
Острый сигмоидит,Болезни толстого кишечника,0.6621637,7.9076114,#D2E11B
Острый средний отит,"Болезни уха, горла, носа",-6.9520144,-2.4960487,#1E9F88
Острый стеноз гортани,"Болезни уха, горла, носа",-5.2057686,-1.279465,#1E9F88
Острый стоматит,Болезни зубов,-17.482576,3.5764742,#22A784
Острый трахеобронхит,Болезни органов дыхания,5.6201916,-0.8265883,#208F8C
Острый холангит,Болезни органов пищеварения,4.025094,5.0357184,#345E8D
Острый холецистит,Болезни органов пищеварения,3.3447754,4.887018,#345E8D
Острый цистит,Урологические болезни,-3.7658727,8.846811,#E7E419
Острый эзофагит,Болезни органов пищеварения,3.6399937,4.7283554,#345E8D
Острый энтерит,Болезни органов пищеварения,3.612178,4.462842,#345E8D
Острый энтероколит,Болезни органов пищеварения,5.148176,5.6456003,#345E8D
Осумкованный плеврит,Болезни органов дыхания,7.1989512,-1.6396778,#208F8C
Отек головного мозга,Нервные болезни,-0.421731,-11.267769,#267F8E
Отек гортани,"Болезни уха, горла, носа",-8.210749,-2.7709386,#1E9F88
Отек Квинке,Аллергические болезни,-8.7298155,-7.242746,#3D4C89
Отек Квинке у детей,Аллергические болезни,-9.5339,-7.5863533,#3D4C89
Отек легких,Болезни органов дыхания,6.2741795,-1.9807518,#208F8C
Отит,"Болезни уха, горла, носа",-9.24959,-2.911814,#1E9F88
Отит у детей,Детские болезни,0.3821205,-4.565648,#443982
Отказ от школы,Детские болезни,3.0509374,-6.8474054,#443982
Открытое овальное окно,Болезни сердца и сосудов,7.9516554,-7.365939,#23888D
Открытоугольная глаукома,Глазные болезни,-12.504595,0.25684667,#79D151
Открытоугольная ювенильная глаукома,Глазные болезни,-15.577806,-1.7692444,#79D151
Открытый артериальный проток,Болезни сердца и сосудов,7.6647615,-7.168745,#23888D
Открытый атриовентрикулярный канал,Болезни сердца и сосудов,10.565722,-8.360297,#23888D
Открытый перелом,Болезни ОДС и травмы,-6.404792,-7.088541,#2D6F8E
Открытый пневмоторакс,Болезни органов дыхания,5.651967,-2.868921,#208F8C
Открытый прикус,Болезни зубов,-16.563438,5.663376,#22A784
Отморожения,Болезни ОДС и травмы,-9.188141,-13.819477,#2D6F8E
Отоантрит,"Болезни уха, горла, носа",-6.0809293,-3.4522355,#1E9F88
Отогематома,"Болезни уха, горла, носа",-10.996147,-4.567991,#1E9F88
Отогенный сепсис,"Болезни уха, горла, носа",-3.229749,-1.9657618,#1E9F88
Отомикоз,"Болезни уха, горла, носа",-7.633492,-2.0208182,#1E9F88
Отосклероз,"Болезни уха, горла, носа",-9.401533,-1.0478268,#1E9F88
Отравление суррогатами алкоголя,Наркологические проблемы,-7.2019405,-19.73277,#64CB5D
Отрубевидный лишай,Кожные болезни,-14.277097,-9.1627,#FDE724
Отслойка сетчатки,Глазные болезни,-14.189988,-0.5487473,#79D151
Отслойка стекловидного тела,Глазные болезни,-14.664192,-2.1248033,#79D151
Отсутствие уха и/или мочки,Эстетические проблемы,-19.174313,-8.73595,#A5DA35
Отторжение зубного импланта,Болезни зубов,-18.75526,3.6182,#22A784
Офтальмогерпес,Глазные болезни,-15.468112,-0.79460216,#79D151
Офтальмогипертензия,Глазные болезни,-13.839678,-1.5372577,#79D151
Офтальмомиаз ,Глазные болезни,-14.770124,-1.3666124,#79D151
Офтальмоплегическая мигрень,Нервные болезни,1.7585847,-10.269455,#267F8E
Офтальмоплегия,Глазные болезни,-11.195891,-4.010338,#79D151
Офтальморозацеа ,Глазные болезни,-14.334957,-1.6586187,#79D151
Очаговая пневмония,Болезни органов дыхания,5.886345,-0.8720359,#208F8C
Очаговый туберкулез легких,Болезни органов дыхания,6.9720807,-1.7677189,#208F8C
Палиндромный ревматизм,Ревматические болезни,-3.6705313,-6.962978,#30678D
Панариций,Болезни ОДС и травмы,-9.458178,-14.91107,#2D6F8E
Пангипопитуитаризм,Эндокринные болезни,-6.3112383,4.9656496,#53C567
Панические атаки,Нервные болезни,1.0867164,-12.3875065,#267F8E
Панические атаки у детей,Детские болезни,0.21942307,-4.1741924,#443982
Паническое расстройство,Психические расстройства,-2.0508654,-18.392025,#48196B
Панкреатит у детей,Детские болезни,0.112465866,-4.2736382,#443982
Панкреатогенный сахарный диабет,Эндокринные болезни,-3.6582875,3.1465142,#53C567
Панкреонекроз,Болезни органов пищеварения,4.161867,4.4921436,#345E8D
Панникулит,Кожные болезни,-12.976194,-6.344109,#FDE724
Панофтальмит,Глазные болезни,-16.629484,-2.5073147,#79D151
Папиллит,Болезни толстого кишечника,1.1065915,8.326163,#D2E11B
Папилломатозный невус,Кожные болезни,-13.415322,-7.858342,#FDE724
Папилломы,Кожные болезни,-10.722225,-7.190261,#FDE724
Папилломы век,Глазные болезни,-14.477824,-1.5496762,#79D151
Папилломы полости рта,Болезни зубов,-13.990831,3.1679928,#22A784
Папиллярная аденокарцинома почки,Онкологические болезни,-7.569927,3.8593056,#404387
Папиллярная кистома яичника,Женские болезни,-8.314502,10.441162,#29AF7F
Папиллярный рак щитовидной железы,Онкологические болезни,-7.843176,4.0710444,#404387
Папулезная крапивница,Кожные болезни,-13.5859,-8.28833,#FDE724
Папулонекротический туберкулез кожи,Кожные болезни,-15.412434,-8.121699,#FDE724
Папулопустулезные угри,Кожные болезни,-12.891377,-4.682733,#FDE724
Парагонимоз,Инфекционные болезни,1.9668353,0.023530493,#42BE71
Паразитарные заболевания печени,Инфекционные болезни,8.176151,2.6624007,#42BE71
Паралич Дюшена-Эрба,Нервные болезни,-0.012361756,-10.978796,#267F8E
Паралич Тодда,Нервные болезни,-1.2047968,-12.254205,#267F8E
Параметрит,Женские болезни,-9.419031,9.122988,#29AF7F
Паранеопластический синдром,Онкологические болезни,-7.3137884,3.6869924,#404387
Параноидное расстройство личности,Психические расстройства,-4.307115,-16.003702,#48196B
Паранойя,Психические расстройства,-2.3545632,-18.268728,#48196B
Параовариальная киста,Женские болезни,-9.985596,9.573696,#29AF7F
Парапроктит,Болезни толстого кишечника,0.9991312,7.989252,#D2E11B
Парапсориаз,Кожные болезни,-14.988318,-7.581454,#FDE724
Параректальная дермоидная киста,Болезни толстого кишечника,1.6632367,6.2993374,#D2E11B
Парасомнии,Нервные болезни,-0.98654056,-10.219099,#267F8E
Парасомнии у детей,Детские болезни,3.046366,-6.037532,#443982
Паратифы А и В,Инфекционные болезни,-2.0914633,-1.5461178,#42BE71
Паратонзиллярный абсцесс,"Болезни уха, горла, носа",-7.1775694,-1.1186407,#1E9F88
Паратрахома,Глазные болезни,-13.087532,-1.0961397,#79D151
Паратрофия,Детские болезни,0.3121428,-4.0633936,#443982
Парафимоз,Мужские болезни,-13.494068,9.003805,#35B778
Парез кишечника,Болезни органов пищеварения,2.5524504,4.5194693,#345E8D
Парезы гортани,"Болезни уха, горла, носа",-8.128062,-1.4102247,#1E9F88
Пародонтальный абсцесс,Болезни зубов,-15.511633,3.2212222,#22A784
Пародонтит,Болезни зубов,-18.613764,3.5697174,#22A784
Пародонтоз,Болезни зубов,-17.815313,4.5097756,#22A784
Пароксизмальная миоплегия,Нервные болезни,-0.64714074,-11.58192,#267F8E
Пароксизмальная тахикардия,Болезни сердца и сосудов,8.170082,-6.489073,#23888D
Пароксизмальное позиционное головокружение,Нервные болезни,-1.138241,-12.129785,#267F8E
Паронихия,Кожные болезни,-14.16625,-6.272481,#FDE724
Патологическая стираемость зубов,Болезни зубов,-18.837894,3.5737288,#22A784
Патологический аффект,Психические расстройства,-2.073868,-17.837261,#48196B
Патологический перелом,Болезни ОДС и травмы,-8.000974,-13.048193,#2D6F8E
Патологический прелиминарный период родов,Женские болезни,-9.077372,10.516648,#29AF7F
Патологическое опьянение,Наркологические проблемы,-7.4690847,-20.146387,#64CB5D
Патологическое просоночное состояние,Психические расстройства,-1.8604205,-18.6412,#48196B
Пахидермопериостоз,Наследственные болезни,-4.520311,-10.328878,#29788E
Пахионихия,Кожные болезни,-15.14524,-7.6716833,#FDE724
Паховая грыжа,Болезни органов пищеварения,3.7757397,4.8144374,#345E8D
Паховая грыжа у детей,Детские болезни,0.3392186,-4.3512793,#443982
Паховая эпидермофития,Кожные болезни,-14.432026,-8.435002,#FDE724
Паховый лимфогранулематоз,Венерические болезни,-13.248196,10.550733,#1E988A
Педагогическая запущенность,Детские болезни,-0.5584276,-3.7615235,#443982
Педикулез,Кожные болезни,-12.601053,-7.517913,#FDE724
Педикулез у детей,Детские болезни,-0.40267754,-4.084287,#443982
Педофилия,Психические расстройства,-0.36183095,-17.049244,#48196B
Пеленочный дерматит,Кожные болезни,-12.775961,-6.805067,#FDE724
Пельвиоперитонит,Женские болезни,-8.563194,11.095621,#29AF7F
