name,categ,X,Y,Z,color
Врожденная краснуха,Детские болезни,0.28112078,-7.1997356,2.6638975,#64CB5D
Врожденная миопатия,Нервные болезни,-0.8630793,-2.2695491,7.6806984,#BADE27
Врожденная мышечная кривошея,Болезни ОДС и травмы,-5.246249,-5.6859293,-0.68585014,#443982
Врожденная парамиотония,Нервные болезни,0.8979237,0.02893109,9.083485,#BADE27
Врожденная пахионихия,Наследственные болезни,3.6178956,-2.4328094,9.190672,#404387
Врожденная сенсорная нейропатия с ангидрозом,Наследственные болезни,2.6294858,-2.1133316,10.1049385,#404387
Врожденная цитомегалия,Детские болезни,2.081742,-6.5664024,4.404071,#64CB5D
Врожденные ампутации,Детские болезни,-3.4051182,-5.9019895,2.4987557,#64CB5D
Врожденные аномалии верхних конечностей,Болезни ОДС и травмы,-5.636987,-7.3341985,-0.51200795,#443982
Врожденные аномалии мочеточника,Детские болезни,2.705428,-6.8508525,2.7303329,#64CB5D
Врожденные аномалии нижних конечностей,Болезни ОДС и травмы,-6.4974675,-6.3775306,-0.6016018,#443982
Врожденные аномалии носа,Детские болезни,2.1239185,-5.407941,3.4663665,#64CB5D
Врожденные гепатиты у детей ,Детские болезни,1.0308006,-5.3840466,4.3561325,#64CB5D
Врожденные нейтропении,Детские болезни,0.64819217,-5.5115743,6.676778,#64CB5D
Врожденные пороки сердца,Болезни сердца и сосудов,-7.375909,-11.3744335,-1.6806042,#22A784
Врожденный вывих бедра,Болезни ОДС и травмы,-5.4697447,-5.8408775,-0.8593402,#443982
Врожденный гипотиреоз,Детские болезни,1.442271,-5.5624447,2.9451425,#64CB5D
Врожденный дискератоз ,Детские болезни,1.0873041,-5.435446,6.1469474,#64CB5D
Врожденный ихтиоз,Детские болезни,3.2399402,-5.825636,4.841159,#64CB5D
Врожденный листериоз ,Детские болезни,1.2962737,-6.047426,4.295949,#64CB5D
Врожденный пилоростеноз,Детские болезни,1.1661909,-5.902035,4.1028004,#64CB5D
Врожденный семейный остеопетроз,Наследственные болезни,2.8022273,-1.572412,10.172244,#404387
Врожденный сифилис,Венерические болезни,1.8060045,-8.930136,0.4545926,#A5DA35
Врожденный стридор,"Болезни уха, горла, носа",0.8032546,-5.52926,0.51349807,#FDE724
Врожденный токсоплазмоз,Детские болезни,1.8957675,-5.2462835,4.519904,#64CB5D
Врожденный туберкулез,Детские болезни,2.9806464,-6.132944,5.153345,#64CB5D
Врожденный фиброз печени ,Детские болезни,0.43969226,-5.4427595,6.2530847,#64CB5D
Вросший волос,Косметические проблемы,14.608068,-7.478573,5.5692067,#1E9F88
Вросший ноготь,Кожные болезни,10.902816,-5.6035023,6.066291,#30678D
Вторичная аменорея,Женские болезни,3.824034,-12.568479,-5.675023,#460C5F
Вторичная глаукома,Глазные болезни,7.223762,-1.7420309,5.243405,#462F7C
Вторичная кардиомиопатия,Болезни сердца и сосудов,-8.78392,-8.6022835,-0.6189387,#22A784
Вторичная катаракта,Глазные болезни,5.431624,-1.3245107,4.114393,#462F7C
Вторичные иммунодефициты ,Иммунные болезни,4.8002033,-7.643762,4.640305,#1E988A
Вторичный билиарный цирроз печени,Болезни органов пищеварения,-0.31520963,-15.036995,-1.521392,#267F8E
Вторичный паркинсонизм,Нервные болезни,-2.645862,-2.0628936,6.841467,#BADE27
Вторичный сифилис,Венерические болезни,9.224408,-12.677389,-0.5524981,#A5DA35
Второй подбородок,Эстетические проблемы,9.604262,-3.988858,1.722242,#35B778
Втянутые соски,Эстетические проблемы,9.396782,-4.7624755,1.4512191,#35B778
Вуайеризм,Психические расстройства,-5.808802,-4.281673,7.9750977,#29AF7F
Вульварный варикоз,Женские болезни,4.6878357,-13.513283,-5.1447506,#460C5F
Вульварный вестибулит,Женские болезни,5.101486,-13.008116,-5.010665,#460C5F
